DND_ZOMBIEMANID	MONSTER_ZOMBIEMAN
DND_SHOTGUNNERID	MONSTER_SHOTGUNNER
DND_CHAINGUNGUYID	MONSTER_CHAINGUNNER
DND_DEMONID	MONSTER_DEMON
DND_SPECTREID	MONSTER_SPECTRE
DND_IMPID	MONSTER_IMP
DND_CACODEMONID	MONSTER_CACODEMON
DND_PAINELEMENTALID	MONSTER_PAINELEMENTAL
DND_LOSTSOULID	MONSTER_LOSTSOUL
DND_REVENANTID	MONSTER_REVENANT
DND_HELLKNIGHTID	MONSTER_HELLKNIGHT
DND_BARONID	MONSTER_BARON
DND_FATSOID	MONSTER_FATSO
DND_ARACHNOTRONID	MONSTER_SPIDER
DND_ARCHVILEID	MONSTER_VILE
DND_SPIDERMASTERMINDID	MONSTER_MASTERMIND
DND_CYBERDEMONID	MONSTER_CYBERDEMON
DND_NAZIID	MONSTER_NAZI
DND_ZOMBIEGRAY	MONSTER_ZOMBIEMANGRAY
DND_ZOMBIERANGER	MONSTER_ZOMBIERANGER
DND_ZOMBIESMG	MONSTER_ZOMBIESMG
DND_ZOMBIERAPID	MONSTER_ZOMBIERAPID
DND_ZOMBIEMARINE	MONSTER_ZOMBIEMARINE
DND_ZOMBIELOS	MONSTER_ZOMBIELOS
DND_ZOMBIEPISTOL	MONSTER_ZOMBIEPISTOL
DND_ZOMBIEQUAKE1	MONSTER_ZOMBIEQUAKE1
DND_ZOMBIEHUNTER	MONSTER_ZOMBIEHUNTER
DND_PROPHET	MONSTER_ZOMBIEPROPHET
DND_SSGLOS	MONSTER_SSGLOS
DND_ZSPECSG	MONSTER_ZSPECSG
DND_SGLOS	MONSTER_SGLOS
DND_SAWEDOFF1	MONSTER_SAWEDOFF1
DND_SAWEDOFF2	MONSTER_SAWEDOFF2
DND_ROGUE	MONSTER_ROGUE
DND_ZOMBIEQUAKE2	MONSTER_ZOMBIEQUAKE2
DND_ZOMBIESSG	MONSTER_ZOMBIESSG
DND_ZOMBIEQUAKE3	MONSTER_ZOMBIEQUAKE3
DND_ZOMBIEMG	MONSTER_ZOMBIEMG
DND_INITIATE	MONSTER_INITIATE
DND_DOUBLEGUNNER	MONSTER_DOUBLEGUNNER
DND_CGMAJOR	MONSTER_CGMAJOR
DND_MRROBOT	MONSTER_MRROBOT
DND_ZSEC	MONSTER_ZSEC
DND_ZSPECMG	MONSTER_ZSPECMG
DND_PLASMAZOMBIE	MONSTER_PLASMAZOMBIE
DND_BERSERKERGUY	MONSTER_BERSERKERGUY
DND_BLOODDEMON	MONSTER_BLOODDEMON
DND_BLOODFIEND	MONSTER_BLOODFIEND
DND_CYBERFIEND	MONSTER_CYBERFIEND
DND_FLAMEDEMON	MONSTER_FLAMEDEMON
DND_STONEIMP	MONSTER_STONEIMP
DND_SCAVENGER	MONSTER_SCAVENGER
DND_SOULEATER	MONSTER_SOULEATER
DND_NHUMCIGN	MONSTER_NHUMCIGN
DND_STONEDEMON	MONSTER_STONEDEMON
DND_BRUTY	MONSTER_BRUTY
DND_SATYR	MONSTER_SATYR
DND_EARTHGOLEM	MONSTER_EARTHGOLEM
DND_RAVAGER	MONSTER_RAVAGER
DND_PUREBREDDEMON	MONSTER_PUREBREDDEMON
DND_SABRECLAW	MONSTER_SABRECLAW
DND_LURKER	MONSTER_LURKER
DND_GRAVEDIGGER	MONSTER_GRAVEDIGGER
DND_DEVOURER	MONSTER_DEVOURER
DND_NIGHTMAREDEMON	MONSTER_NIGHTMAREDEMON
DND_DARKIMP1	MONSTER_DARKIMP1
DND_VOIDDARKIMP	MONSTER_VOIDDARKIMP
DND_NETHERDARKIMP	MONSTER_NETHERDARKIMP
DND_DARKIMP2	MONSTER_DARKIMP2
DND_IMPABOM	MONSTER_IMPABOM
DND_STIMP	MONSTER_STIMP
DND_VOIDIMP	MONSTER_VOIDIMP
DND_SOULHARVESTER	MONSTER_SOULHARVESTER
DND_PYROIMP	MONSTER_PYROIMP
DND_DEVIL	MONSTER_DEVIL
DND_DEVIL2	MONSTER_DEVIL2
DND_VULGAR	MONSTER_VULGAR
DND_UNDEADMAGE	MONSTER_UNDEADMAGE
DND_SHADOW	MONSTER_SHADOW
DND_REAVER	MONSTER_REAVER
DND_ROACH	MONSTER_ROACH
DND_BABYCACO	MONSTER_BABYCACO
DND_ETHEREALSOUL	MONSTER_ETHEREALSOUL
DND_FLESHSPAWN	MONSTER_FLESHSPAWN
DND_GUARDIANCUBE	MONSTER_GUARDIANCUBE
DND_FORGOTTENONE	MONSTER_FORGOTTENONE
DND_HADESSPHERE	MONSTER_HADESSPHERE
DND_WATCHER	MONSTER_WATCHER
DND_DARKLICH_SPIRIT	MONSTER_DARKLICH_SPIRIT
DND_WEAKENER	MONSTER_WEAKENER
DND_SHADOWPRIEST	MONSTER_SHADOWPRIEST
DND_GRELL	MONSTER_GRELL
DND_DEATHWHISPERER	MONSTER_DEATHWHISPERER
DND_CACOLICH	MONSTER_CACOLICH
DND_INFERNO	MONSTER_INFERNO
DND_GUARDIAN	MONSTER_GUARDIAN
DND_ENHANCEDCACO	MONSTER_ENHANCEDCACO
DND_EARTHLICH	MONSTER_EARTHLICH
DND_WICKED	MONSTER_WICKED
DND_BLOODLICH	MONSTER_BLOODLICH
DND_HADESELEMENTAL	MONSTER_HADESELEMENTAL
DND_HELLARBITER	MONSTER_HELLARBITER
DND_DEFILER	MONSTER_DEFILER
DND_TORTUREDSOUL	MONSTER_TORTUREDSOUL
DND_SHADOWDISCIPLE	MONSTER_SHADOWDISCIPLE
DND_SENTINEL	MONSTER_SENTINEL
DND_PHANTASM	MONSTER_PHANTASM
DND_WRAITH	MONSTER_WRAITH
DND_INCARNATE	MONSTER_INCARNATE
DND_BEAMREVENANT	MONSTER_BEAMREVENANT
DND_AXEKNIGHT	MONSTER_AXEKNIGHT
DND_WIDOWMAKER	MONSTER_WIDOWMAKER
DND_SLUDGEGIANT	MONSTER_SLUDGEGIANT
DND_SLUDGEGIANT2	MONSTER_SLUDGEGIANT2
DND_SLUDGEGIANT3	MONSTER_SLUDGEGIANT3
DND_CADAVER	MONSTER_CADAVER
DND_DARKSERVANT	MONSTER_DARKSERVANT
DND_CRAWLER	MONSTER_CRAWLER
DND_CYBORGSOLDIER	MONSTER_CYBORGSOLDIER
DND_DRAUGR	MONSTER_DRAUGR
DND_BLOODSATYR	MONSTER_BLOODSATYR
DND_HELLWARRIOR	MONSTER_HELLWARRIOR
DND_HELLSFURY	MONSTER_HELLSFURY
DND_BLACKKNIGHT	MONSTER_BLACKKNIGHT
DND_ARCHON	MONSTER_ARCHON
DND_WARLORD	MONSTER_WARLORD
DND_SKULLWIZARD	MONSTER_SKULLWIZARD
DND_CYBORGWARRIOR	MONSTER_CYBORGWARRIOR
DND_SHADOWBEAST	MONSTER_SHADOWBEAST
DND_CHAOSSERPENT	MONSTER_CHAOSSERPENT
DND_MOONSATYR	MONSTER_MOONSATYR
DND_ICEGOLEM	MONSTER_ICEGOLEM
DND_PUTREFIER	MONSTER_PUTREFIER
DND_GLADIATOR	MONSTER_GLADIATOR
DND_LAVADEMON	MONSTER_LAVADEMON
DND_LORDOFHERESY	MONSTER_LORDOFHERESY
DND_BORMERETH	MONSTER_BORMERETH
DND_BARBATOS	MONSTER_BARBATOS
DND_BLOODSEEKER	MONSTER_BLOODSEEKER
DND_SHADOWWIZARD	MONSTER_SHADOWWIZARD
DND_KJAROCH	MONSTER_KJAROCH
DND_CYBRUISER	MONSTER_CYBRUISER
DND_BRUISERDEMON	MONSTER_BRUISERDEMON
DND_MAGMASERPENT	MONSTER_MAGMASERPENT
DND_DREADKNIGHT	MONSTER_DREADKNIGHT
DND_MAGMAGOLEM	MONSTER_MAGMAGOLEM
DND_JUDICATOR	MONSTER_JUDICATOR
DND_WARMASTER	MONSTER_WARMASTER
DND_CORPULENT	MONSTER_CORPULENT
DND_DAEDABUS	MONSTER_DAEDABUS
DND_PALADIN	MONSTER_PALADIN
DND_GAMON	MONSTER_GAMON
DND_MEPHISTO	MONSTER_MEPHISTO
DND_MAFIBUS	MONSTER_MAFIBUS
DND_ICEFATSO	MONSTER_ICEFATSO
DND_ABOMINATION	MONSTER_ABOMINATION
DND_REDEEMER	MONSTER_REDEEMER
DND_GOLDGOLEM	MONSTER_GOLDGOLEM
DND_YETI	MONSTER_YETI
DND_FUSIONSPIDER	MONSTER_FUSIONSPIDER
DND_RAILARACHNOTRON	MONSTER_RAILARACHNOTRON
DND_HELLFORGESPIDER	MONSTER_HELLFORGESPIDER
DND_VORE	MONSTER_VORE
DND_BABYDEMOLISHER	MONSTER_BABYDEMOLISHER
DND_CHAINGUNGENERAL	MONSTER_CHAINGUNGENERAL
DND_CHAINGUNCOMMANDO	MONSTER_CHAINGUNCOMMANDO
DND_LEGIONNAIRE	MONSTER_LEGIONNAIRE
DND_MANTICORE	MONSTER_MANTICORE
DND_OPHIDIAN	MONSTER_OPHIDIAN
DND_DIABLOIST	MONSTER_DIABLOIST
DND_UNDEADPRIEST	MONSTER_UNDEADPRIEST
DND_UNDEADPRIESTGHOST	MONSTER_UNDEADPRIESTGHOST
DND_DEATHVILE	MONSTER_DEATHVILE
DND_HIEROPHANT	MONSTER_HIEROPHANT
DND_GURU	MONSTER_GURU
DND_DEATHKNIGHT	MONSTER_DEATHKNIGHT
DND_HORSHACKER	MONSTER_HORSHACKER
DND_DARKZEALOT	MONSTER_DARKZEALOT
DND_FLESHWIZARD	MONSTER_FLESHWIZARD
DND_DEMOLISHER	MONSTER_DEMOLISHER
DND_ARACHNOPHYTE	MONSTER_ARACHNOPHYTE
DND_PSIONICQUEEN	MONSTER_PSIONICQUEEN
DND_ANGELOFDEATH	MONSTER_ANGELOFDEATH
DND_GOLDLICH	MONSTER_GOLDLICH
DND_GOLDLICHFAKE	MONSTER_GOLDLICHFAKE
DND_IRONLICH	MONSTER_IRONLICH
DND_SPIDEROVERLORD	MONSTER_SPIDEROVERLORD
DND_DARKLICH	MONSTER_DARKLICH
DND_CARDINAL	MONSTER_CARDINAL
DND_TERMINATOR	MONSTER_TERMINATOR
DND_THAMUZ	MONSTER_THAMUZ
DND_AZAZEL	MONSTER_AZAZEL
DND_HELLSMITH	MONSTER_HELLSMITH
DND_THANATOS	MONSTER_THANATOS
DND_AVATAR	MONSTER_AVATAR
DND_CERBERUS	MONSTER_CERBERUS
DND_DEATHWYVERN	MONSTER_DEATHWYVERN
DND_DREAMER	MONSTER_DREAMINGGOD
DND_TORRASQUE	MONSTER_TORRASQUE
DND_MORDECQAI	MONSTER_MORDECQAI
DND_GODSLAYER	MONSTER_GODSLAYER
DND_GOLGOTH	MONSTER_GOLGOTH
DND_TERON	MONSTER_TERON
DND_GANT	MONSTER_GANT
DND_BRONN	MONSTER_BRONN
DND_VAAJ	MONSTER_VAAJ
DND_REMUS	MONSTER_REMUS
DND_SSRATH	MONSTER_SSRATH
DND_HOLLOWSHELL	MONSTER_HOLLOWSHELL
DND_OMNISIGHT	MONSTER_OMNISIGHT
DND_CHEGOVAX	MONSTER_CHEGOVAX
DND_ONIMUZ	MONSTER_ONIMUZ
DND_HARKIMONDE	MONSTER_HARKIMONDE
DND_LESHRAC	MONSTER_LESHRAC
DND_LESHRACPOD	MONSTER_LESHRACPOD
DND_KRULL	MONSTER_KRULL
DND_THORAX	MONSTER_THORAX
DND_ZRAVOG	MONSTER_ZRAVOG
DND_ERYXIA	MONSTER_ERYXIA
DND_ABAXOTH	MONSTER_ABAXOTH
DND_CHEX_COMMON	MONSTER_CHEX_COMMON
DND_CHEX_BIPEDAL	MONSTER_CHEX_BIPEDAL
DND_CHEX_ARMORED	MONSTER_CHEX_ARMORED
DND_CHEX_HEAVYARMORED	MONSTER_CHEX_HEAVYARMORED
DND_CHEX_CYCLOPS	MONSTER_CHEX_CYCLOPS
DND_CHEX_FLEMMINE	MONSTER_CHEX_FLEMMINE
DND_CHEX_LARVA	MONSTER_CHEX_LARVA
DND_CHEX_STRIDICUS	MONSTER_CHEX_STRIDICUS
DND_CHEX_QUADWUMPUS	MONSTER_CHEX_QUADWUMPUS
DND_CHEX_SUPERCYCLOPS	MONSTER_CHEX_SUPERCYCLOPS
DND_CHEX_MAXIMUS	MONSTER_CHEX_MAXIMUS
DND_CHEX_FLEMOBIUS	MONSTER_CHEX_FLEMOBIUS
DND_CHEX_BERNABE	MONSTER_CHEX_BERNABE
DND_CHEX_METEOR	MONSTER_CHEX_METEOR
DND_CHEX_FLEMCARRIER	MONSTER_CHEX_FLEMCARRIER
DND_CHEX_FLEMBOMINATION	MONSTER_CHEX_FLEMBOMINATION
DND_CHEX_SNOTFOLUS	MONSTER_CHEX_SNOTFOLUS
DND_ABYSS_ZOMBIEMAN	MONSTER_ABYSS_ZOMBIEMAN
DND_ABYSS_SHOTGUNNER	MONSTER_ABYSS_SHOTGUNNER
DND_ABYSS_CHAINGUNNER	MONSTER_ABYSS_CHAINGUNNER
DND_ABYSS_IMP	MONSTER_ABYSS_IMP
DND_ABYSS_NIGHTMAREIMP	MONSTER_ABYSS_NIGHTMAREIMP
DND_ABYSS_DEMON	MONSTER_ABYSS_DEMON
DND_ABYSS_SPECTRE	MONSTER_ABYSS_SPECTRE
DND_ABYSS_HOUND	MONSTER_ABYSS_HOUND
DND_ABYSS_LOSTSOUL	MONSTER_ABYSS_LOSTSOUL
DND_ABYSS_CACODEMON	MONSTER_ABYSS_CACODEMON
DND_ABYSS_NIGHTMARECACO	MONSTER_ABYSS_NIGHTMARECACO
DND_ABYSS_PAINELEMENTAL	MONSTER_ABYSS_PAINELEMENTAL
DND_ABYSS_HELLKNIGHT	MONSTER_ABYSS_HELLKNIGHT
DND_ABYSS_BARON	MONSTER_ABYSS_BARON
DND_ABYSS_REVENANT	MONSTER_ABYSS_REVENANT
DND_ABYSS_MANCUBUS	MONSTER_ABYSS_MANCUBUS
DND_ABYSS_ARACHNOTRON	MONSTER_ABYSS_ARACHNOTRON
DND_ABYSS_ARCHVILE	MONSTER_ABYSS_ARCHVILE
DND_ABYSS_SPIDERDEMON	MONSTER_ABYSS_SPIDERDEMON
DND_ABYSS_CYBERDEMON	MONSTER_ABYSS_CYBERDEMON
DND_ABYSS_MOTHERDEMON	MONSTER_ABYSS_MOTHERDEMON
DND_DUNGEON_BLOODGOLEM	MONSTER_DUNGEON_BLOODGOLEM
DND_DUNGEON_DEMENTOR	MONSTER_DUNGEON_DEMENTOR
DND_DUNGEON_VASSAGO	MONSTER_DUNGEON_VASSAGO
DND_DUNGEON_SHAMBLER	MONSTER_DUNGEON_SHAMBLER
DND_LASTMONSTER_INDEX	MONSTER_CUSTOM
DND_CUSTOM_MONSTER	MONSTER_CUSTOM_BOSS
DND_CUSTOM_BOSS	MONSTER_CUSTOM_UNIQUEBOSS
